canonical	gbif_match	gbif_full
Poa caesia var. frearitis	Poa caesia var. freartis	Poa caesia var. freartis Orph. ex Halácsy
Ribes mandshuricum	Ribes manshuricum	Ribes manshuricum Kom.
Geranium pratense var. albidum	Geranium pratense var. album	Geranium pratense var. album Weston
Agrostis stolonifera var. major	Agrostis stolonifera var. maior	Agrostis stolonifera var. maior (Gaudin) Farw.
Calamagrostis epigeios var. arenaria	Calamagrostis epigejos var. arenaria	Calamagrostis epigejos var. arenaria B.de Lesd.
Carex hystericina	Carex hystricina	Carex hystricina
Chenopodium benghalense	Chenopodium bengalense	Chenopodium bengalense (Lam.) Spielm. ex Steud.
Clematis vitalba var. integra	Clematis vitalba var. integrata	Clematis vitalba var. integrata DC.
Digitaria sanguinalis	Digitaria sangiunalis	Digitaria sangiunalis
Distichlis spicata var. mendozina	Distichlis spicata var. mendocina	Distichlis spicata var. mendocina (Phil.) Hack.
Feijoa schenckiana	Feijoa schenkiana	Feijoa schenkiana Kiaersk., 1893
Fragaria cerino-alba	Fragaria cerinoalba	Fragaria cerinoalba Jord. & Fourr.
Fuchsia macrostemma	Fuchsia macrostema	Fuchsia macrostema Ruiz & Pav.
Galanthus scharlockii	Galanthus scharlokii	Galanthus scharlokii (Casp.) Baker
Juncus gerardii var. gerardii	Juncus gerardi var. gerardi	Juncus gerardi var. gerardi
Koompassia malacensis	Koompassia malaccensis	Koompassia malaccensis Maingay
Koompassia malacensis	Koompassia malaccensis	Koompassia malaccensis Maingay ex Benth.
Myosotis scorpioides	Myosotis scorpiodes	Myosotis scorpiodes L.
Ovidia pillopillo	Ovidia pillo-pillo	Ovidia pillo-pillo (Gay) Hohen. ex Meisn.
Ovidia pillopillo	Ovidia pillo-pillo	Ovidia pillo-pillo (Gay) Hohen.
Paspalum paspalodes	Paspalum paspaloides	Paspalum paspaloides (Michx.) Scribn.
Populus tacamahacca	Populus tacamahaca	Populus tacamahaca Mill.
Hypericum linearifolium	Hypericum linarifolium	Hypericum linarifolium Bertol.
Centaurea maculosa subsp. rheana	Centaurea maculosa subsp. rhenana	Centaurea maculosa subsp. rhenana (Boreau) Gugler, 1908
Cyperus fuscus var. viridescens	Cyperus fuscus var. virescens	Cyperus fuscus var. virescens (Hoffm.) Vahl, 1805
Cyperus fuscus var. viridescens	Cyperus fuscus var. virescens	Cyperus fuscus var. virescens (Hoffm.) Schrad.
Phyteuma spicatum var. coeruleum	Phyteuma spicatum var. caeruleum	Phyteuma spicatum var. caeruleum Gremli
Artemisia absinthium var. insipida	Artemisia absinthium var. inspida	Artemisia absinthium var. inspida Stechm.
Polygonum aviculare subsp. rectum	Polygonum aviculare subsp. erectum	Polygonum aviculare subsp. erectum (Roth) Schübl. & G.Martens
Adenium obesum subsp. socotranum	Adenium obesum subsp. sokotranum	Adenium obesum subsp. sokotranum (Vierh.) Lav.
Ammophila arundinaceae	Ammophila arundinacea	Ammophila arundinacea Host
Arabis billardierei	Arabis billardieri	Arabis billardieri DC.
Artemisia gnaphalodes	Artemisia gnaphaloides	Artemisia gnaphaloides Nutt., 1818
Calamagrostis epigeios var. flavescens	Calamagrostis epigejos var. flavescens	Calamagrostis epigejos var. flavescens (Grutt.) Asch. & Graebn.
Copaiba langsdorfii	Copaiba langsdorffii	Copaiba langsdorffii (Desf.) Kuntze
Cucumis maderaspatanus	Cucumis madraspatanus	Cucumis madraspatanus Roxb.
Eremophila macdonnellii	Eremophila macdonellii	Eremophila macdonellii F.Muell.
Eucalyptus erytrocorys	Eucalyptus erythrocorys	Eucalyptus erythrocorys F.Muell.
Festuca rubra subsp. megastachya	Festuca rubra subsp. megastachys	Festuca rubra subsp. megastachys Gaudin
Festuca rubra subsp. megastachya	Festuca rubra subsp. megastachys	Festuca rubra subsp. megastachys (Gaudin) Piper
Gagea billardierei	Gagea billardieri	Gagea billardieri Kunth
Juncus pseudacutus	Juncus pseudoacutus	Juncus pseudoacutus Pau, 1895
Kobresia pamiroalaica	Kobresia pamiralaica	Kobresia pamiralaica N.A.Ivanova
Pedicularis chmorrhyncha	Pedicularis chmorhyncha	Pedicularis chmorhyncha Vved.
Rubus diamantinus	Rubus diamantianus	Rubus diamantianus H.Lév.
Sedum forsteranum	Sedum forsterianum	Sedum forsterianum Rchb.
Sedum forsteranum	Sedum forsterianum	Sedum forsterianum Sm.
Bromopsis pumpelliana subsp. orans	Bromopsis pumpelliana subsp. ornans	Bromopsis pumpelliana subsp. ornans (Kom.) Tzvelev
Datura stramonium var. chalybea	Datura stramonium var. chalybaea	Datura stramonium var. chalybaea W.D.J.Koch
Calamagrostis epigeios subsp. glomerata	Calamagrostis epigejos subsp. glomerata	Calamagrostis epigejos subsp. glomerata (Boiss. & Buhse) Tzvelev
Consolida regalis var. glanduligera	Consolida regalis var. glandulifera	Consolida regalis var. glandulifera (Peterm.) Soó
Phyteuma spicatum subsp. coeruleum	Phyteuma spicatum subsp. caeruleum	Phyteuma spicatum subsp. caeruleum Rich.Schulz
Poa compressa subsp. langeana	Poa compressa subsp. langiana	Poa compressa subsp. langiana (Rchb.) W.D.J.Koch ex Hegi
Ranunculus ficaria subsp. bulbilifer	Ranunculus ficaria subsp. bulbifer	Ranunculus ficaria subsp. bulbifer Lawalrée
Ranunculus ficaria subsp. bulbilifer	Ranunculus ficaria subsp. bulbifer	Ranunculus ficaria subsp. bulbifer Lambinon
Trisetum spicatum subsp. alaskanum	Trisetum spicatum subsp. alascanum	Trisetum spicatum subsp. alascanum (Nash) Hultén
Cakile maritima subsp. aegyptica	Cakile maritima subsp. aegyptiaca	Cakile maritima subsp. aegyptiaca (Willd.) Nyman
Medicago lupulina subsp. cupianiana	Medicago lupulina subsp. cupaniana	Medicago lupulina subsp. cupaniana (Guss.) Nyman
Ranunculus sceleratus var. sceleratus	Ranunculus sceleratus var. scleratus	Ranunculus sceleratus var. scleratus L.
Allium fedschenkoanum	Allium fedtschenkoanum	Allium fedtschenkoanum Regel
Brickellia rosmarinifolia	Brickellia rosemarinifolia	Brickellia rosemarinifolia (Vent.) W.A.Weber
Andropogon leucostachyus	Andropogon leucostachys	Andropogon leucostachys H.B.K.
Artemisia dracunculus var. redovskyi	Artemisia dracunculus var. redowskyi	Artemisia dracunculus var. redowskyi (Ledeb.) Turcz.
Croton macrostachyus	Croton macrostachys	Croton macrostachys Hochst. ex A.Rich., 1850
Fraxinus pennsylvanica	Fraxinus pennsylvania	Fraxinus pennsylvania Marshall
Melaleuca quinquenervia	Melaleuca quinquenerva	Melaleuca quinquenerva
Melastoma malabathricum	Melastoma malabatricum	Melastoma malabatricum Blanco
Papaver paeoniflorum	Papaver paeoniiflorum	Papaver paeoniiflorum (Alef.) Corrêa
Pedicularis dolichorrhiza	Pedicularis dolichorhiza	Pedicularis dolichorhiza Schrenk
Silene pseudo-otites	Silene pseudootites	Silene pseudootites Besser
Crepis vesicaria subsp. haenseleri	Crepis vesicaria subsp. haensleri	Crepis vesicaria subsp. haensleri (DC.) P.D.Sell
Caltha palustris var. himalensis	Caltha palustris var. himalayensis	Caltha palustris var. himalayensis Brühl ex Banerji
Lepidium densiflorum var. pubecarpum	Lepidium densiflorum var. pubicarpum	Lepidium densiflorum var. pubicarpum (A.Nelson) Thell.
Muscari botryoides subsp. lelievrii	Muscari botryoides subsp. lelievrei	Muscari botryoides subsp. lelievrei (Boreau) K.Richt.
Lolium rigidum var. rottboellioides	Lolium rigidum var. rottboelloides	Lolium rigidum var. rottboelloides Heldr. ex Boiss.
Calamagrostis adpressi-ramea	Calamagrostis adpressiramea	Calamagrostis adpressiramea Ohwi
Saxifraga cespitosa subsp. sileneflora	Saxifraga cespitosa subsp. sileniflora	Saxifraga cespitosa subsp. sileniflora (Sternb.) Hultén
Scorzonera sericeo-lanata	Scorzonera sericeolanata	Scorzonera sericeolanata (Bunge) Krasch. & Lipsch.
Trasus chlorostachyos	Trasus chlorostachys	Trasus chlorostachys Gray, 1821
Trigonella foenum-graecum	Trigonella foenum-graceum	Trigonella foenum-graceum
Veronica arguteserrata	Veronica argute-serrata	Veronica argute-serrata Regel & Schmalh.
Salvia verbenaca subsp. horminioides	Salvia verbenaca subsp. horminoides	Salvia verbenaca subsp. horminoides (Pourr.) Nyman
Angelica archangelica subsp. norwegica	Angelica archangelica subsp. norvegica	Angelica archangelica subsp. norvegica (Rupr.) Nordh.
Thlaspi caerulescens subsp. silvestre	Thlaspi caerulescens subsp. sylvestre	Thlaspi caerulescens subsp. sylvestre (Jord.) M.Laínz
Aristida adscensionis var. coerulescens	Aristida adscensionis var. caerulescens	Aristida adscensionis var. caerulescens (Desf.) Hack.
Hieracium lactucella subsp. magnauricula	Hieracium lactucella subsp. magnauricola	Hieracium lactucella subsp. magnauricola (Nägeli & Peter) Sell
Mentha calaminthifolia	Mentha calamintifolia	Mentha ×calamintifolia Sennen
Plantago macro-nipponica	Plantago macronipponica	Plantago macronipponica Yamam.
Acetosa fontanopaludosa	Acetosa fontano-paludosa	Acetosa fontano-paludosa (Kalela) Holub
Aristida adscensionis subsp. coerulescens	Aristida adscensionis subsp. caerulescens	Aristida adscensionis subsp. caerulescens (Desf.) Bourreil & Trouin ex Auquier & J.Duvign.
Cyperus cylindrostachyus	Cyperus cylindrostachys	Cyperus cylindrostachys Boeckeler
Fraxinus pennsylvanica var. pennsylvanica	Fraxinus pennsylvania var. pennsylvania	Fraxinus pennsylvania var. pennsylvania
Leucaena pseudotrichodes	Leucaena pseudotrichoides	Leucaena pseudotrichoides Britton & Rose, 1928
Phyteuma pseudoorbiculare	Phyteuma pseudorbiculare	Phyteuma pseudorbiculare Pant.
Xylosma pseudosalzmanii	Xylosma pseudosalzmannii	Xylosma pseudosalzmannii Sleumer
Anthemis marschalliana subsp. sosnowskyana	Anthemis marschalliana subsp. sosnovskyana	Anthemis marschalliana subsp. sosnovskyana (Fed.) Grierson
Escallonia duplicatoserrata	Escallonia duplicato-serrata	Escallonia duplicato-serrata J.Rémy
Rumex fontanopaludosus	Rumex fontano-paludosus	Rumex fontano-paludosus Kalela
Dupontia fisheri var. psilosantha	Dupontia fischeri var. psilosantha	Dupontia fischeri var. psilosantha (Rupr.) Hultén
Brassica juncea var. megarrhiza	Brassica juncea var. megarhiza	Brassica juncea var. megarhiza Tsen & S.H.Lee
Carex muricata subsp. pairae	Carex muricata subsp. pairaei	Carex muricata subsp. pairaei (F.W.Schultz) Asch. & Graebn.
Molinia caerulea var. litoralis	Molinia caerulea var. littoralis	Molinia caerulea var. littoralis (Host) Rchb. ex Blytt
Themeda forskallii var. imberbis	Themeda forskalii var. imberbis	Themeda forskalii var. imberbis (Retz.) Hack.
Leptospermum scoparium var. nicholsii	Leptospermum scoparium var. nichollsii	Leptospermum scoparium var. nichollsii (Dorr.Sm.) Ewart
Leptospermum scoparium var. nicholsii	Leptospermum scoparium var. nichollsii	Leptospermum scoparium var. nichollsii (Dorr.Sm.) Turrill
Persea americana var. drimyfolia	Persea americana var. drymifolia	Persea americana var. drymifolia (Schltdl. & Cham.) S.F.Blake
Potamogeton pectinatus var. potensus	Potamogeton pectinatus var. protensus	Potamogeton pectinatus var. protensus Wallr., 1822
Setaria viridis subsp. weinmanii	Setaria viridis subsp. weinmannii	Setaria viridis subsp. weinmannii (Roem. & Schult.) Tzvelev
Solanum phureja var. rubro-roseum	Solanum phureja var. rubroroseum	Solanum phureja var. rubroroseum Ochoa
Solanum stenotomum var. arichuwa	Solanum stenotomum var. ari-chuwa	Solanum stenotomum var. ari-chuwa Ochoa
Campanula rotundifolia var. bocconei	Campanula rotundifolia var. bocconi	Campanula rotundifolia var. bocconi (Vill.) P.Fourn., 1939
Cyperus esculentus var. hermannii	Cyperus esculentus var. heermannii	Cyperus esculentus var. heermannii (Buckley) Britton
Juncus articulatus var. hylanderi	Juncus articulatus var. hylandri	Juncus articulatus var. hylandri Hämet-Ahti
Echinochloa crusgalli subsp. submutica	Echinochloa crus-galli subsp. submutica	Echinochloa crus-galli subsp. submutica (Neilr.) Honda
Solanum phureja var. janckophureja	Solanum phureja var. jancko-phureja	Solanum phureja var. jancko-phureja Ochoa
Solidago virgaurea subsp. litoralis	Solidago virgaurea subsp. littoralis	Solidago virgaurea subsp. littoralis (Savi) Briq. & Cavill.
Acer platanoides var. laciniatum	Acer platanoides var. lasciniatum	Acer platanoides var. lasciniatum Hovey
Arthraxon ciliaris subsp. langsdorfii	Arthraxon ciliaris subsp. langsdorffii	Arthraxon ciliaris subsp. langsdorffii (Trin.) Hack.
Astragalus onobrychis var. chlorocapus	Astragalus onobrychis var. chlorocarpus	Astragalus onobrychis var. chlorocarpus (Griseb.) Boiss.
Atropa bella-donna subsp. caucasica	Atropa belladonna subsp. caucasica	Atropa belladonna subsp. caucasica (Kreyer) V.E.Avet.
Euonymus alatus var. ciliatodentatus	Euonymus alatus var. ciliato-dentatus	Euonymus alatus var. ciliato-dentatus Franch. & Sav.
Swida alba var. argenteo-marginata	Swida alba var. argenteomarginata	Swida alba var. argenteomarginata (Rehder) Moldenke
Tripsacum dactyloides var. meridionale	Tripsacum dactyloides var. meridonale	Tripsacum dactyloides var. meridonale de Wet & Timothy
Polygonum pensylvanicum subsp. oneilii	Polygonum pensylvanicum subsp. oneillii	Polygonum pensylvanicum subsp. oneillii (Brenckle) Hultén
Abies concolor var. baja-californica	Abies concolor var. bajacalifornica	Abies concolor var. bajacalifornica Silba
Artemisia messerschmidiana var. viridis	Artemisia messerschmidtiana var. viridis	Artemisia messerschmidtiana var. viridis Besser
Triticum turgidum subsp. palaeocolchicum	Triticum turgidum subsp. paleocolchicum	Triticum turgidum subsp. paleocolchicum A.Love & D.Love
Rumex acetosa subsp. fontanopaludosus	Rumex acetosa subsp. fontano-paludosus	Rumex acetosa subsp. fontano-paludosus (Kalela) Hyl.
Hieracium pilosella subsp. micradeniophorum	Hieracium pilosella subsp. micradenophorum	Hieracium pilosella subsp. micradenophorum Zahn
Solanum verbascifolium var. viridiscabrum	Solanum verbascifolium var. viridi-scabrum	Solanum verbascifolium var. viridi-scabrum Dunal
Juncus alpinoarticulatus subsp. fuscoater	Juncus alpino-articulatus subsp. fuscoater	Juncus alpino-articulatus subsp. fuscoater (Schreb.) O.Schwarz
Juncus alpinoarticulatus subsp. arthrophyllus	Juncus alpino-articulatus subsp. arthrophyllus	Juncus alpino-articulatus subsp. arthrophyllus (Brenner) Reichg.
Abildgaardia ovata	Abilgaardia ovata	Abilgaardia ovata
Actinotis helianthi	Actinotus helianthi	Actinotus helianthi Labill.
Antirrhinum majus	Antirrhimum majus	Antirrhimum majus L.
Aubrieta deltoidea	Aubretia deltoidea	Aubretia deltoidea (L.) DC.
Bartsia alpina	Bartschia alpina	Bartschia alpina L.
Borago officinalis	Borrago officinalis	Borrago officinalis L.
Brunyera biennis	Brunerya biennis	Brunerya biennis (L.) Bubani, 1899
Calamintha nepeta	Calmintha nepeta	Calmintha nepeta
Ceratostanthus ajacis	Ceratosanthus ajacis	Ceratosanthus ajacis (L.) Schur
Chaenorhinum minus	Chaenarrhinum minus	Chaenarrhinum minus (L.) Lange
Chaenorhinum minus	Chaenorrhinum minus	Chaenorrhinum minus (L.) Lange
Chamaepericlymenum suecicum	Chamaepericlimenum suecicum	Chamaepericlimenum suecicum Asch. & Graebn.
Chamerion angustifolium	Chamaerion angustifolium	Chamaerion angustifolium (L.)
Chelidonium majus	Chlidonium majus	Chlidonium majus L.
Combretocapus rotundatus	Combretocarpus rotundatus	Combretocarpus rotundatus (Miq.) Danser
Dichanthelium acuminatum	Dicanthelium acuminatum	Dicanthelium acuminatum (Sw.) Gould & C.A.Clark
Dryadaea octopetala	Dryadea octopetala	Dryadea octopetala (L.) Kuntze
Engelhardia chrysolepis	Engelhardtia chrysolepis	Engelhardtia chrysolepis Hance
Engelhardia fenzelii	Engelhardtia fenzelii	Engelhardtia fenzelii Merr.
Engelhardia roxburghiana	Engelhardtia roxburghiana	Engelhardtia roxburghiana Wall., 1831
Engelhardia roxburghiana	Engelhardtia roxburghiana	Engelhardtia roxburghiana Lindl.
Eribroma oblongum	Eriobroma oblongum	Eriobroma oblongum (Mast.) Pierre ex A.Chev.
Glechoma hederacea	Glecoma hederacea	Glecoma hederacea L.
Hierochloe odorata	Hierochloë odorata	Hierochloë odorata (L.) Wahlenb.
Hirschfeldia incana	Hirsheldia incana	Hirsheldia incana (L.) Lagr.-Foss.
Honckenya peploides	Honkenya peploides	Honkenya peploides (L.) Ehrh.
Honckenya peploides	Honkenya peploides	Honkenya peploides Linnaeus, 1753
Honckenya peploides subsp. diffusa	Honkenya peploides subsp. diffusa	Honkenya peploides subsp. diffusa (Hornem.) Hultén
Honckenya peploides var. diffusa	Honkenya peploides var. diffusa	Honkenya peploides var. diffusa (Hornem.) Ostenf.
Imperatoria ostruthium	Imperatorium ostruthium	Imperatorium ostruthium L., 1753
Lapsana communis	Lampsana communis	Lampsana communis L.
Lapsana communis	Lampsana communis	Lampsana communis Juss.
Leuceria achillaeifolia	Leucheria achillaeifolia	Leucheria achillaeifolia Hook. & Arn.
Maianthemum bifolium	Majanthemum bifolium	Majanthemum bifolium (L.) F.W.Schmidt
Melandrium noctiflorum	Melandryum noctiflorum	Melandryum noctiflorum (L.) Fr.
Metasequoia glyptostroboides	Metasequioa glyptostroboides	Metasequioa glyptostroboides Hu & W.C.Cheng
Mitragina ciliata	Mitragyna ciliata	Mitragyna ciliata Aubrév. & Pellegr.
Naumburgia thyrsiflora	Naumbergia thyrsiflora	Naumbergia thyrsiflora (L.) Rchb.
Phelypaea ramosa	Phelipaea ramosa	Phelipaea ramosa (L.) C.A.Mey.
Pollichia galeobdolon	Polichia galeobdolon	Polichia galeobdolon (Linnaeus) Willdenow
Pseudolysimachion longifolium	Pseudolysimachium longifolium	Pseudolysimachium longifolium (L.) Opiz
Rhynchelytrum repens	Rhynchelythrum repens	Rhynchelythrum repens (Willd.) C.E.Hubb.
Rhynchelytrum roseum	Rhynchelythrum roseum	Rhynchelythrum roseum (Nees) Stapf & C.E.Hubb. ex Bews
Simarouba amara	Simaruba amara	Simaruba amara Aubl.
Symphoricarpos albus	Symphoricarpus albus	Symphoricarpus albus
Symphoricarpos racemosus	Symphoricarpus racemosus	Symphoricarpus racemosus
Symphoricarpos rivularis	Symphoricarpus rivularis	Symphoricarpus rivularis Suksdorf
Turczaninovia fastigiata	Turczaninowia fastigiata	Turczaninowia fastigiata (Fisch.) DC.
Xerololophus alpinus	Xerolophus alpinus	Xerolophus alpinus (L.) Dulac, 1867
Zappania nodiflora	Zapania nodiflora	Zapania nodiflora (L.) Lam., 1791
Arodes aethiopica	Arodes aethiopicum	Arodes aethiopicum (L.) Kuntze
Erodium sabulicolum	Erodium sabulicola	Erodium sabulicola (Lange) Lange
Gnaphalium einseleanum	Gnaphalium einseleana	Gnaphalium einseleana F.W.Schultz ex Callay, 1900
Leptilon bonariense	Leptilon bonariensis	Leptilon bonariensis (L.) Small
Microrhynchus sarmentosus	Microrhynchus sarmentosa	Microrhynchus sarmentosa (Willd.) DC.
Nertera granadensis	Nertera granadense	Nertera granadense (Mutis ex L.f.) Druce, 1917
Odontites longifolius	Odontites longifolia	Odontites longifolia Corb.
Scorpiurus subvillosa	Scorpiurus subvillosus	Scorpiurus subvillosus Hochst. & Steud. ex A.Rich., 1847
Scorpiurus subvillosa	Scorpiurus subvillosus	Scorpiurus subvillosus L.
Syntherisma longiflorum	Syntherisma longiflora	Syntherisma longiflora (Retz.) Skeels
Turczaninovia fastigiata	Turczaninovia fastigiatus	Turczaninovia fastigiatus (Fisch.) DC.
Geranium scopulicolum	Geranium scopulicola	Geranium scopulicola Jord. ex Nyman
Ailanthus vilmorinianus	Ailanthus vilmoriniana	Ailanthus vilmoriniana Dode
Xylosma ciliatifolia	Xylosma ciliatifolium	Xylosma ciliatifolium (Clos) Eichler
Arthraxon japonicum	Arthraxon japonicus	Arthraxon japonicus Miq.
Axonopus pruinosum	Axonopus pruinosus	Axonopus pruinosus Henrard
Chaetocrater capitatus	Chaetocrater capitatum	Chaetocrater capitatum Ruiz & Pav.
Petalostemon violaceum	Petalostemon violaceus	Petalostemon violaceus Michx.
Psychrogeton cabulicum	Psychrogeton cabulicus	Psychrogeton cabulicus Boiss.
Taraxacum erythrospermum	Taraxacum erythrosperma	Taraxacum erythrosperma Dahlst.
Erigeron linifolius	Erigeron linifolium	Erigeron linifolium Willd.
Enterolobium contortisiliquum	Enterolobium contortisiliqua	Enterolobium contortisiliqua (Vell.) Morong, 1893
