dlist,elist,genus_jw,se_jw,gender_switch
Acacia papyrocarpa,Acacia papyrocarpa,1.0,1.0,False
Acacia gladiiformis,Acacia gladiiformis,1.0,1.0,False
Acacia cyperophylla,Acacia cyperophylla,1.0,1.0,False
Acacia cochliacantha,Acacia cochliacantha,1.0,1.0,False
Acacia argyrophylla,Acacia argyrophylla,1.0,1.0,False
Acacia adoxa,Acacia adoxa,1.0,1.0,False
Acacia pennatula,Acacia pennatula,1.0,1.0,False
Acacia podalyriifolia,Acacia podalyriifolia,1.0,1.0,False
Acacia neovernicosa,Acacia neovernicosa,1.0,1.0,False
Acacia doratoxylon,Acacia doratoxylon,1.0,1.0,False
Acacia berlandieri,Acacia berlandieri,1.0,1.0,False
Acacia chrysella,Acacia chrysella,1.0,1.0,False
Acacia aculeatissima,Acacia aculeatissima,1.0,1.0,False
Acacia ancistroclada,Acacia ancistrocarpa,1.0,0.989743589744,False
Acacia microcephala,Acacia microcephala,1.0,1.0,False
